qsort:  0.016 ,Sort: 0.028 ,Merge: 0.187
qsort:  0.016 ,Sort: 0.029 ,Merge: 0.194
qsort:  0.018 ,Sort: 0.035 ,Merge: 0.2
qsort:  0.021 ,Sort: 0.028 ,Merge: 0.201
qsort:  0.016 ,Sort: 0.028 ,Merge: 0.331
qsort:  0.027 ,Sort: 0.056 ,Merge: 0.277
qsort:  0.014 ,Sort: 0.025 ,Merge: 0.3
qsort:  0.02 ,Sort: 0.03 ,Merge: 0.289
qsort:  0.029 ,Sort: 0.07 ,Merge: 0.355
qsort:  0.02 ,Sort: 0.045 ,Merge: 0.385
qsort:  0.013 ,Sort: 0.052 ,Merge: 0.26
qsort:  0.017 ,Sort: 0.065 ,Merge: 0.354
qsort:  0.034 ,Sort: 0.071 ,Merge: 0.281
qsort:  0.02 ,Sort: 0.041 ,Merge: 0.191
qsort:  0.018 ,Sort: 0.035 ,Merge: 0.231
qsort:  0.02 ,Sort: 0.06 ,Merge: 0.257
qsort:  0.015 ,Sort: 0.041 ,Merge: 0.259
qsort:  0.015 ,Sort: 0.035 ,Merge: 0.413
qsort:  0.022 ,Sort: 0.041 ,Merge: 0.293
qsort:  0.027 ,Sort: 0.042 ,Merge: 0.319
qsort:  0.017 ,Sort: 0.04 ,Merge: 0.271
qsort:  0.019 ,Sort: 0.06 ,Merge: 0.409
qsort:  0.042 ,Sort: 0.08 ,Merge: 0.304
qsort:  0.02 ,Sort: 0.031 ,Merge: 0.328
qsort:  0.04 ,Sort: 0.065 ,Merge: 0.372
qsort:  0.026 ,Sort: 0.036 ,Merge: 0.395
qsort:  0.037 ,Sort: 0.061 ,Merge: 0.28
qsort:  0.021 ,Sort: 0.058 ,Merge: 0.32
qsort:  0.022 ,Sort: 0.031 ,Merge: 0.261
qsort:  0.011 ,Sort: 0.037 ,Merge: 0.258
qsort:  0.038 ,Sort: 0.044 ,Merge: 0.279
qsort:  0.028 ,Sort: 0.066 ,Merge: 0.394
qsort:  0.035 ,Sort: 0.068 ,Merge: 0.383
qsort:  0.03 ,Sort: 0.068 ,Merge: 0.305
